剧名,分类,标签,画质,集数,状态,年份,演员,百度链接,百度提取码,简介
这一秒过火,热播剧,民国/虐恋/2026,1080P,更19集,更新中,2026,张凌赫/王楚然/付辛博,,,,改编自匪我思存小说，民国虐恋剧
百花杀,热播剧,古装/权谋/2026,1080P,36集全,已完结,2026,孟子义/何与,,,,古装权谋大剧
枭起青壤,热播剧,悬疑/奇幻/爱情,1080P,32集全,已完结,2025,迪丽热巴/陈星旭,,,,尾鱼小说改编 都市奇幻爱情剧
凶宅专卖店,热播剧,悬疑/恐怖/台剧,1080P,10集全,已完结,2026,李铭顺/范少勋/陈妍霏,,,,台湾悬疑惊悚剧 Disney+独播
雨霖铃,热播剧,古装/武侠/2026,1080P,37集全,已完结,2026,杨洋/章若楠/方逸伦,,,,正午阳光出品 古装武侠剧 三侠五义改编
朱雀堂,热播剧,古装/悬疑/探案,1080P,30集全,已完结,2025,万茜/秦俊杰,,,,民国悬疑探案剧 腾讯视频
太平年,热播剧,古装/历史/权谋,1080P,48集全,已完结,2026,白宇/周雨彤/朱亚文,,,,央视历史大剧 吴越归宋
莫离,热播剧,古装/爱情/2026,1080P,40集全,已完结,2026,白鹿/丞磊,,,,改编自小说《盛世嫡妃》古装爱情剧
探晴安,热播剧,古装/探案/甜宠,1080P,22集全,已完结,2024,常华森/赵晴,,,,古装探案甜宠剧 又名大理寺萌主
九重紫,热播剧,古装/言情/复仇,1080P,34集全,已完结,2024,孟子义/李昀锐,,,,吱吱小说改编 古装重生复仇剧
江湖夜雨十年灯,热播剧,古装/武侠/2026,1080P,37集全,已完结,2026,周翊然/包上恩,,,,关心则乱小说改编 古装武侠剧
她的盛宴,热播剧,民国/悬疑/重生,1080P,28集全,已完结,2025,何泓姗/谢彬彬,,,,民国悬疑剧 重生复仇
佳偶天成,热播剧,古装/仙侠/2026,1080P,40集全,已完结,2026,任嘉伦/王鹤润,,,,十四郎小说改编 古装仙侠剧 爱奇艺
问心2,热播剧,都市/医疗/2026,1080P,40集全,已完结,2026,赵又廷/毛晓彤/金世佳,,,,问心第二季 央视医疗剧
京城奇探,热播剧,民国/探案/悬疑,1080P,36集全,已完结,2026,翟子路/马思超,,,,民国探案剧 腾讯视频 三集一案
斩神,动漫,国漫/热血/奇幻,1080P,更15集,更新中,2025,,,,,斩神之凡尘神域 第二季 国漫热血番
大唐迷雾,热播剧,古装/悬疑/探案,1080P,25集全,已完结,2025,冯绍峰/邬君梅,,,,古装悬疑剧 狄仁杰探案
小芳,热播剧,农村/情感/2026,1080P,18集全,已完结,2026,王影璐/辛云来,,,,央视八套 农村婚恋家庭剧
野狗骨头,热播剧,爱情/青春/2026,1080P,32集全,已完结,2026,宋威龙/张婧仪,,,,又名莫道桑榆晚 芒果TV
给你梦想,外剧,韩剧/励志,1080P,,更新中,2025,,,,,韩剧
绘梦婚礼,外剧,韩剧/爱情,1080P,,更新中,2025,,,,,韩剧
检察官室的提案,外剧,韩剧/律政,1080P,,更新中,2025,,,,,韩剧
毛骨悚然的恋爱,外剧,韩剧/悬疑/爱情,1080P,,更新中,2025,,,,,韩剧
明天也要上班,外剧,韩剧/职场,1080P,,更新中,2025,姜美娜,,,,韩剧 姜美娜主演
公寓黑风暴,外剧,韩剧/悬疑/犯罪,1080P,,更新中,2025,,,,,韩剧
婚姻之后,外剧,韩剧/爱情/婚姻,1080P,,更新中,2025,,,,,韩剧
金特务·本色回归,外剧,韩剧/动作/悬疑,1080P,,更新中,2025,,,,,韩剧
杀人者的购物中心2,外剧,韩剧/悬疑/犯罪,1080P,,更新中,2025,,,,,韩剧 杀人者的购物中心第二季
罪与爱,外剧,韩剧/犯罪/爱情,1080P,,更新中,2025,,,,,韩剧
盗墓笔记,经典剧,探险/盗墓/悬疑,1080P,12集全,已完结,2015,李易峰/杨洋,,,,经典盗墓探险剧
鬼吹灯之精绝古城,经典剧,探险/盗墓/悬疑,1080P,21集全,已完结,2016,靳东/陈乔恩,,,,经典盗墓探险剧
聪明镇,外剧,台剧/恐怖/惊悚,1080P,10集全,已完结,2026,梁咏琪/陈妍霏,,,,伊藤润二漫画改编 Netflix台湾独播
